title	link	category	scraping_time	processed
Regarding ETFs (EOS5L、OMG3L、SNX3L、ARPA3L、KAVA3L) Reverse Split	https://www.gate.io/announcements/article/37286	ETF	2024-09-12 12:24:25	No
Regarding ETFs (BSV5L、PEOPLE3S、DOGE5L、AR3S、GALA5S) Reverse Split	https://www.gate.io/announcements/article/37127	ETF	2024-09-12 12:24:25	No
Regarding ETFs (ACH3S、UNI5L、BTC3S、QTUM3S、XRP3L) Reverse Split	https://www.gate.io/announcements/article/35959	ETF	2024-09-12 12:24:25	No
Regarding ETFs (DOT5L、GALA5L、AXS5L、GMT3L、XRP5L) Reverse Split	https://www.gate.io/announcements/article/35911	ETF	2024-09-12 12:24:25	No
Regarding ETFs (ADA3S、ETH5S、BLUR3S、SAND3S、MKR3S) Reverse Split	https://www.gate.io/announcements/article/35001	ETF	2024-09-12 12:24:25	No
Gate.io will Adjust the Funding Interval for RARE/USDT Perpetual Contract	https://www.gate.io/announcements/article/38651	Fee	2024-09-12 12:24:27	No
Watch Live & Win VIP+1: The Future of Airdropped Tokens: Do Airdropped Tokens Have Long-term Holding Value?	https://www.gate.io/announcements/article/39181	Live	2024-09-12 12:24:30	No
Watch Live & Win VIP+1: Can this week's CPI release reverse the market downturn?	https://www.gate.io/announcements/article/39153	Live	2024-09-12 12:24:30	No
GateLive Live Mining Program - Bonuses Distribution Announcement (September 02 - September 08)	https://www.gate.io/announcements/article/39151	Live	2024-09-12 12:24:30	No
GateLive Riddle Week: Share $8,000 in Rewards, and VIP+1 New Viewers Bonus	https://www.gate.io/announcements/article/39131	Live	2024-09-12 12:24:30	No
GateLive Live Mining Program - Bonuses Distribution Announcement (August 26-September 01)	https://www.gate.io/announcements/article/39065	Live	2024-09-12 12:24:30	No
Watch Live & Claim VIP+1: Non-Farm Payroll Data Release Tonight—Positive or Negative Impact?	https://www.gate.io/announcements/article/39064	Live	2024-09-12 12:24:30	No
Watch Live & Win VIP+1: Cryptocurrency Millionaires Surge by 95%: Who Is Driving This Wealth Creation Wave?	https://www.gate.io/announcements/article/39038	Live	2024-09-12 12:24:30	No
GateLive Live Mining Program - Bonuses Distribution Announcement (August 19-August 25)	https://www.gate.io/announcements/article/38896	Live	2024-09-12 12:24:30	No
Watch Live & Win VIP+1: Prestigious Streamer & GatePost Content Creator Honour's Night	https://www.gate.io/announcements/article/38782	Live	2024-09-12 12:24:30	No
Watch Live & Win VIP+1: Will SUI Become the Solana Killer?	https://www.gate.io/announcements/article/38723	Live	2024-09-12 12:24:30	No
GateLive Live Mining Program - Bonuses Distribution Announcement (August 12-August 18)	https://www.gate.io/announcements/article/38707	Live	2024-09-12 12:24:30	No
New Streamers Exclusive Bonus: Double Trading Fee Commissions & VIP+1!	https://www.gate.io/announcements/article/38653	Live	2024-09-12 12:24:30	No
Watch GateLive Streams: Copy Trading Every Day, Win VIP+1 and Share $10,000 !	https://www.gate.io/announcements/article/38616	Live	2024-09-12 12:24:30	No
Watch Live & Claim VIP+1: BTC Market Drop: Is It a Bottom or Bounce?	https://www.gate.io/announcements/article/38606	Live	2024-09-12 12:24:30	No
GateLive Live Mining Program - Bonuses Distribution Announcement (August 05-August 11)	https://www.gate.io/announcements/article/38596	Live	2024-09-12 12:24:30	No
Gate Card Lucky Draw - Share a $50,000 USDT prize pool now, 100% Guaranteed Prizes for New and Existing Users!	https://www.gate.io/announcements/article/38590	Gate Card	2024-09-12 12:24:32	No
Get BTC Rewards:Apply for a Gate Card within the limited time to receive BTC rewards!	https://www.gate.io/announcements/article/38518	Gate Card	2024-09-12 12:24:32	No
Gate.io Launches Exclusive Gate Card Referral Program: Earn Up to $20 USDT and Offer 10% Cashback to Friends	https://www.gate.io/announcements/article/36478	Gate Card	2024-09-12 12:24:32	No
Gate Launches A Virtual Version Of Gate Visa Debit Card With Unmatched Benefits	https://www.gate.io/announcements/article/36252	Gate Card	2024-09-12 12:24:32	No
Gate's Cashback Visa Debit 'Gate Card' Now Available in 28 EEA Countries	https://www.gate.io/announcements/article/35246	Gate Card	2024-09-12 12:24:32	No
Gate Group Integrates Solartrip Travel Services, Offers Travel Rewards to Gate Card Cardholders	https://www.gate.io/announcements/article/34885	Gate Card	2024-09-12 12:24:32	No
Buy Crypto or Get a Gate Card - Win 1 BTC, 1 ETH, or 100 USDT!	https://www.gate.io/announcements/article/34470	Gate Card	2024-09-12 12:24:32	No
Gate's Cashback Visa Debit 'Gate Card' Available Soon in 29 EEA Countries	https://www.gate.io/announcements/article/34378	Gate Card	2024-09-12 12:24:32	No
Gate Card New Year Signup Campaign Announcement	https://www.gate.io/announcements/article/34111	Gate Card	2024-09-12 12:24:32	No
Gate Card 2.0 Update: Revolutionizing Your Spending Experience	https://www.gate.io/announcements/article/34086	Gate Card	2024-09-12 12:24:32	No
Win 2x Crypto by Buying Crypto with a Gate Card via Gate Connect	https://www.gate.io/announcements/article/33712	Gate Card	2024-09-12 12:24:32	No
Gate Card Black Friday Event: Earn 2X Cashback for 3 Months	https://www.gate.io/announcements/article/33610	Gate Card	2024-09-12 12:24:32	No
Unlock Gate VIP Privileges and USDT Cashback with the Gate Card Visa Debit	https://www.gate.io/announcements/article/33609	Gate Card	2024-09-12 12:24:32	No
Gate Card Black Friday Event: Earn 2X Cashback for 3 Months	https://www.gate.io/announcements/article/33097	Gate Card	2024-09-12 12:24:32	No
Unlock Gate VIP Privileges and USDT Cashback with the Gate Card Visa Debit	https://www.gate.io/announcements/article/32988	Gate Card	2024-09-12 12:24:32	No
Gate.io Completes DeFi Box (BOX) Rebranding to DeFi Box (DEFIBOX) and to Resume Trading	https://www.gate.io/announcements/article/39098	Token Rename	2024-09-12 12:24:34	No
Gate.io Supports DeFi Box (BOX) Rebranding	https://www.gate.io/announcements/article/39041	Token Rename	2024-09-12 12:24:34	No
Gate.io Completes Cyber Arena Token (CAT) Rebranding to Cyber Arena Token (CYBERARENA) and to Resume Trading	https://www.gate.io/announcements/article/38367	Token Rename	2024-09-12 12:24:34	No
Gate.io Supports Cyber Arena Token (CAT) Rebranding	https://www.gate.io/announcements/article/38299	Token Rename	2024-09-12 12:24:34	No
Gate.io Completes JobAi (JOB) Rebranding to JobAi (JOBAI) and to Resume Trading	https://www.gate.io/announcements/article/38048	Token Rename	2024-09-12 12:24:34	No
Gate.io Supports JobAi (JOB) Rebranding to JobAi (JOBAI)	https://www.gate.io/announcements/article/37965	Token Rename	2024-09-12 12:24:34	No
Gate.io Completes Altair (AIR) Rebranding to Altair (ALTAIR) and to Resume Trading	https://www.gate.io/announcements/article/37873	Token Rename	2024-09-12 12:24:34	No
Gate.io Supports Altair (AIR) Rebranding	https://www.gate.io/announcements/article/37819	Token Rename	2024-09-12 12:24:34	No
Gate.io Completes GM (GM) Rebranding to GM (GMWAGMI) and to Resume Trading	https://www.gate.io/announcements/article/37764	Token Rename	2024-09-12 12:24:34	No
Gate.io Supports GM (GM) Rebranding	https://www.gate.io/announcements/article/37742	Token Rename	2024-09-12 12:24:34	No
Gate.io Completes Drops Ownership Power (DOP) Rebranding to Drops Ownership Power (DROPS) and to Resume Trading	https://www.gate.io/announcements/article/37674	Token Rename	2024-09-12 12:24:34	No
Gate.io Supports Drops Ownership Power (DOP) Rebranding	https://www.gate.io/announcements/article/37659	Token Rename	2024-09-12 12:24:34	No
Gate.io Supports Caitlyn Jenner (JENNER) Rebranding	https://www.gate.io/announcements/article/37298	Token Rename	2024-09-12 12:24:34	No
Gate.io Completes Polyhedra Network (ZK) Renaming to Polyhedra Network (ZKJ) and to Resume Trading	https://www.gate.io/announcements/article/37002	Token Rename	2024-09-12 12:24:34	No
Gate.io Supports Polyhedra Network (ZK) Renaming	https://www.gate.io/announcements/article/36935	Token Rename	2024-09-12 12:24:34	No
Gate.io Scheduled Perpetual Contracts (USDT & BTC Margin) Upgrade (11 September, 16: 00-16: 10 UTC)	https://www.gate.io/announcements/article/39157	Engine Upgrade	2024-09-12 12:24:36	No
Gate.io Scheduled Spot Trading Engine Upgrade (06 Sep 16: 00 - 16: 30 UTC)	https://www.gate.io/announcements/article/39082	Engine Upgrade	2024-09-12 12:24:36	No
Gate.io Scheduled Spot Trading Engine Upgrade 02 Sep 16: 00 - 16: 30 UTC)	https://www.gate.io/announcements/article/38962	Engine Upgrade	2024-09-12 12:24:36	No
Gate.io Scheduled Perpetual Contracts (USDT & BTC Margin) Upgrade (22 August, 16: 00-16: 10 UTC)	https://www.gate.io/announcements/article/38752	Engine Upgrade	2024-09-12 12:24:36	No
Gate.io Scheduled Perpetual Contracts (USDT & BTC Margin) Upgrade ( 07 August 16: 00-16: 10 UTC)	https://www.gate.io/announcements/article/38428	Engine Upgrade	2024-09-12 12:24:36	No
New Feature! Sell Crypto to Your Debit/Credit Cards Seamlessly via Gate Connect	https://www.gate.io/announcements/article/38568	Fiat	2024-09-12 12:24:39	No
Gate.io Will Adjust Tick Size for Multiple USDT Margined Perpetuals (12 Sep 08:00 UTC)	https://www.gate.io/announcements/article/39171	Precision	2024-09-12 12:24:41	No
Gate.io Will Adjust Tick Size for Multiple Spot Trading Pairs (09 September 02:00 UTC)	https://www.gate.io/announcements/article/39067	Precision	2024-09-12 12:24:41	No
Gate.io Will Adjust Tick Size for Multiple Spot Trading Pairs (27 August 02:00 UTC)	https://www.gate.io/announcements/article/38817	Precision	2024-09-12 12:24:41	No
Gate.io Will Adjust Tick Size for Multiple Spot Trading Pairs (19 August 03:30 UTC)	https://www.gate.io/announcements/article/38650	Precision	2024-09-12 12:24:41	No
Gate.io Will Adjust Tick Size for Multiple USDT Margined Perpetuals (15 August 08:00 UTC)	https://www.gate.io/announcements/article/38573	Precision	2024-09-12 12:24:41	No
Gate.io Adjusted Tick Size for Beercoin (BEER) , MEDIEUS (MDUS) and ZELIX (ZELIX) Spot Trading Pairs	https://www.gate.io/announcements/article/37415	Precision	2024-09-12 12:24:41	No
P2P Winners and Rewards of NGN Top Merchants Event	https://www.gate.io/announcements/article/39143	P2P Trading	2024-09-12 12:24:43	No
[Limited Fiats Only]Trade via P2P to split the prize pool worth $2000!	https://www.gate.io/announcements/article/39108	P2P Trading	2024-09-12 12:24:43	No
P2P Advertisers: Compete and Earn Up to 250 USDT Weekly!	https://www.gate.io/announcements/article/39060	P2P Trading	2024-09-12 12:24:43	No
Exclusive EMEA P2P Referral Campaign: Win a share of 3,000 USDT!	https://www.gate.io/announcements/article/39039	P2P Trading	2024-09-12 12:24:43	No
P2P Announcement: Winners and rewards of NGN Top Merchants Event	https://www.gate.io/announcements/article/38885	P2P Trading	2024-09-12 12:24:43	No
Gate.io Trading Boost Contest. Share a 3,000 USDT Price Pool for Top THB Merchants with a chance for a lucky draw	https://www.gate.io/announcements/article/38867	P2P Trading	2024-09-12 12:24:43	No
Gate.io P2P: Update on Security Deposit for New Merchants	https://www.gate.io/announcements/article/38787	P2P Trading	2024-09-12 12:24:43	No
